disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
Unspecified depressive disorder,dep,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__unspec__past_dx,mh_p_ksads__dep__unspec__past_dx == 1,low,,
Unspecified depressive disorder,dep,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__unspec__pres_dx,mh_p_ksads__dep__unspec__pres_dx == 1,low,,
Unspecified depressive disorder,dep,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dep__unspec__past_dx | mh_p_ksads__dep__unspec__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Disruptive mood dysregulation disorder,dmdd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__dmdd__dmdd__pres_dx,mh_p_ksads__dmdd__dmdd__pres_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__bingeprg__partrem_dx,mh_p_ksads__ed__an__bingeprg__partrem_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__bingeprg__past_dx,mh_p_ksads__ed__an__bingeprg__past_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__bingeprg__pres_dx,mh_p_ksads__ed__an__bingeprg__pres_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__bingeprg__partrem_dx | mh_p_ksads__ed__an__bingeprg__past_dx | mh_p_ksads__ed__an__bingeprg__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__oth__past_dx,mh_p_ksads__ed__an__oth__past_dx == 1,low,,
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__oth__pres_dx,mh_p_ksads__ed__an__oth__pres_dx == 1,low,,
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__oth__past_dx | mh_p_ksads__ed__an__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Anorexia nervosa, restricting subtype",ed,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__restrict__partrem_dx,mh_p_ksads__ed__an__restrict__partrem_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__restrict__past_dx,mh_p_ksads__ed__an__restrict__past_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__restrict__pres_dx,mh_p_ksads__ed__an__restrict__pres_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__an__restrict__partrem_dx | mh_p_ksads__ed__an__restrict__past_dx | mh_p_ksads__ed__an__restrict__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, binge eating disorder",ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__oth__mindur__past_dx,mh_p_ksads__ed__binge__oth__mindur__past_dx == 1,low,,
"Other specified feeding or eating disorder, binge eating disorder",ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__oth__mindur__pres_dx,mh_p_ksads__ed__binge__oth__mindur__pres_dx == 1,low,,
"Other specified feeding or eating disorder, binge eating disorder",ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__oth__mindur__past_dx | mh_p_ksads__ed__binge__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Binge eating disorder,ed,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__partrem_dx,mh_p_ksads__ed__binge__partrem_dx == 1,high,,
Binge eating disorder,ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__past_dx,mh_p_ksads__ed__binge__past_dx == 1,high,,
Binge eating disorder,ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__pres_dx,mh_p_ksads__ed__binge__pres_dx == 1,high,,
Binge eating disorder,ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__binge__partrem_dx | mh_p_ksads__ed__binge__past_dx | mh_p_ksads__ed__binge__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, bulimia nervosa",ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__oth__mindur__past_dx,mh_p_ksads__ed__bulim__oth__mindur__past_dx == 1,low,,
"Other specified feeding or eating disorder, bulimia nervosa",ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__oth__mindur__pres_dx,mh_p_ksads__ed__bulim__oth__mindur__pres_dx == 1,low,,
"Other specified feeding or eating disorder, bulimia nervosa",ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__oth__mindur__past_dx | mh_p_ksads__ed__bulim__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Bulimia nervosa,ed,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__partrem_dx,mh_p_ksads__ed__bulim__partrem_dx == 1,high,,
Bulimia nervosa,ed,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__past_dx,mh_p_ksads__ed__bulim__past_dx == 1,high,,
Bulimia nervosa,ed,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__pres_dx,mh_p_ksads__ed__bulim__pres_dx == 1,high,,
Bulimia nervosa,ed,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ed__bulim__partrem_dx | mh_p_ksads__ed__bulim__past_dx | mh_p_ksads__ed__bulim__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, generalized anxiety disorder",gad,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__oth__mindur__past_dx,mh_p_ksads__gad__oth__mindur__past_dx == 1,low,,
