table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__suic,suic,youth,atmpt__intr,past,mh_y_ksads__suic__atmpt__intr__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-00A,1.0,6,11769,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-01A,1.0,7,11090,0,0,9,11106,99.9
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-02A,1.0,4,10850,0,0,1,10855,100.0
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-03A,2.0,4,10297,0,0,0,10301,100.0
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-04A,2.0,7,9026,0,0,7,9040,99.9
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-05A,2.0,1,8534,0,0,0,8535,100.0
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-06A,2.0,4,9291,0,0,4,9299,100.0
mh_y_ksads__suic,suic,youth,atmpt__intr,present,mh_y_ksads__suic__atmpt__intr__pres_dx,ses-07A,2.0,2,8342,0,0,13,8357,99.8
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-00A,1.0,87,11688,0,0,7,11782,99.9
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-01A,1.0,85,11012,0,0,9,11106,99.9
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-02A,1.0,120,10734,0,0,1,10855,100.0
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-03A,2.0,159,10142,0,0,0,10301,100.0
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-04A,2.0,242,8791,0,0,7,9040,99.9
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-06A,2.0,0,0,0,9295,4,9299,0.0
mh_y_ksads__suic,suic,youth,atmpt,past,mh_y_ksads__suic__atmpt__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
