disorder,module,informant,status,merged_var,proposed_case_definition
"Bipolar II disorder, currently depressed",bpd,parent,present,mh_p_ksads__bpd__bpd2__curdep__pres_dx,mh_p_ksads__bpd__bpd2__curdep__pres_dx == 1
"Bipolar II disorder, currently depressed",bpd,parent,lifetime_union,mh_p_ksads__bpd__bpd2__curdep__partrem_dx | mh_p_ksads__bpd__bpd2__curdep__pres_dx,any(present/past/partial_remission _dx == 1)
"Bipolar II disorder, currently hypomanic",bpd,parent,present,mh_p_ksads__bpd__bpd2__curhypo__pres_dx,mh_p_ksads__bpd__bpd2__curhypo__pres_dx == 1
"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",bpd,parent,unknown,mh_p_ksads__bpd__bpd2__oth__nomdd_dx,mh_p_ksads__bpd__bpd2__oth__nomdd_dx == 1
"Bipolar II disorder, most recent episode hypomanic",bpd,parent,present,mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx,mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx == 1
"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",bpd,parent,present,mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx == 1
"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",bpd,parent,unknown,mh_p_ksads__bpd__oth__mindur_dx,mh_p_ksads__bpd__oth__mindur_dx == 1
Unspecified bipolar and related disorder,bpd,parent,past,mh_p_ksads__bpd__unspec__past_dx,mh_p_ksads__bpd__unspec__past_dx == 1
Unspecified bipolar and related disorder,bpd,parent,present,mh_p_ksads__bpd__unspec__pres_dx,mh_p_ksads__bpd__unspec__pres_dx == 1
Unspecified bipolar and related disorder,bpd,parent,lifetime_union,mh_p_ksads__bpd__unspec__past_dx | mh_p_ksads__bpd__unspec__pres_dx,any(present/past/partial_remission _dx == 1)
"Conduct disorder, adolescent onset",cond,parent,past,mh_p_ksads__cond__onset__adoles__past_dx,mh_p_ksads__cond__onset__adoles__past_dx == 1
